Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
5600                 | 1.70            | 3.55            | 2976.02         | 12735.83        | 15711.86             | 38243.14                 
5400                 | 1.80            | 3.24            | 2976.02         | 11184.47        | 14160.49             | 39794.51                 
5200                 | 1.90            | 2.95            | 2976.02         | 9825.47         | 12801.49             | 41153.51                 
5000                 | 2.00            | 2.70            | 2976.02         | 8629.99         | 11606.01             | 42348.99                 
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.50            | 12.94           | 3013.56         | 49708.74        | 52722.30             | 1232.70                  
6000                 | 0.60            | 10.79           | 3013.56         | 41423.95        | 44437.51             | 9517.49                  
6000                 | 0.70            | 9.25            | 3013.56         | 35506.24        | 38519.80             | 15435.20                 
6000                 | 0.80            | 8.09            | 3013.56         | 31067.96        | 34081.52             | 19873.48                 
6000                 | 0.90            | 7.19            | 3013.56         | 27615.97        | 30629.52             | 23325.48                 
6000                 | 1.00            | 6.47            | 3013.56         | 24854.37        | 27867.93             | 26087.07                 
6000                 | 1.10            | 5.88            | 3013.56         | 22594.88        | 25608.44             | 28346.56                 
6000                 | 1.20            | 5.39            | 3013.56         | 20711.97        | 23725.53             | 30229.47                 
6000                 | 1.30            | 4.98            | 3013.56         | 19118.75        | 22132.30             | 31822.70                 
6000                 | 1.40            | 4.62            | 3013.56         | 17753.12        | 20766.68             | 33188.32                 
6000                 | 1.50            | 4.31            | 3013.56         | 16569.58        | 19583.14             | 34371.86                 
6000                 | 1.60            | 4.05            | 3013.56         | 15533.98        | 18547.54             | 35407.46                 
6000                 | 1.70            | 3.81            | 3013.56         | 14620.22        | 17633.77             | 36321.23                 
6000                 | 1.80            | 3.60            | 3013.56         | 13807.98        | 16821.54             | 37133.46                 
6000                 | 1.90            | 3.41            | 3013.56         | 13081.25        | 16094.80             | 37860.20                 
6000                 | 2.00            | 3.24            | 3013.56         | 12427.18        | 15440.74             | 38514.26                 
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
7000                 | 0.50            | 15.10           | 3013.56         | 67659.12        | 70672.67             | -16717.67                
7000                 | 0.60            | 12.59           | 3013.56         | 56382.60        | 59396.15             | -5441.15                 
7000                 | 0.70            | 10.79           | 3013.56         | 48327.94        | 51341.50             | 2613.50                  
7000                 | 0.80            | 9.44            | 3013.56         | 42286.95        | 45300.50             | 8654.50                  
7000                 | 0.90            | 8.39            | 3013.56         | 37588.40        | 40601.95             | 13353.05                 
7000                 | 1.00            | 7.55            | 3013.56         | 33829.56        | 36843.12             | 17111.88                 
7000                 | 1.10            | 6.86            | 3013.56         | 30754.14        | 33767.70             | 20187.30                 
7000                 | 1.20            | 6.29            | 3013.56         | 28191.30        | 31204.86             | 22750.14                 
7000                 | 1.30            | 5.81            | 3013.56         | 26022.74        | 29036.29             | 24918.71                 
7000                 | 1.40            | 5.39            | 3013.56         | 24163.97        | 27177.53             | 26777.47                 
7000                 | 1.50            | 5.03            | 3013.56         | 22553.04        | 25566.60             | 28388.40                 
7000                 | 1.60            | 4.72            | 3013.56         | 21143.47        | 24157.03             | 29797.97                 
7000                 | 1.70            | 4.44            | 3013.56         | 19899.74        | 22913.30             | 31041.70                 
7000                 | 1.80            | 4.20            | 3013.56         | 18794.20        | 21807.76             | 32147.24                 
7000                 | 1.90            | 3.97            | 3013.56         | 17805.03        | 20818.59             | 33136.41                 
7000                 | 2.00            | 3.78            | 3013.56         | 16914.78        | 19928.34             | 34026.66                 
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.50            | 17.26           | 3013.56         | 88371.09        | 91384.65             | -37429.65                
8000                 | 0.60            | 14.38           | 3013.56         | 73642.57        | 76656.13             | -22701.13                
8000                 | 0.70            | 12.33           | 3013.56         | 63122.21        | 66135.76             | -12180.76                
8000                 | 0.80            | 10.79           | 3013.56         | 55231.93        | 58245.49             | -4290.49                 
8000                 | 0.90            | 9.59            | 3013.56         | 49095.05        | 52108.61             | 1846.39                  
